iter	MultiClass
0	2.424826151
1	2.311364313
2	2.215355724
3	2.132588584
4	2.059352346
5	1.993808959
6	1.93475821
7	1.880913867
8	1.831433602
9	1.785855355
10	1.74364509
11	1.701964307
12	1.665135887
13	1.630708221
14	1.597946119
15	1.563397883
16	1.531126056
17	1.50053945
18	1.474160398
19	1.449280229
20	1.421803566
21	1.398516878
22	1.373490669
23	1.351731301
24	1.330101861
25	1.309127801
26	1.289419531
27	1.270475964
28	1.250459832
29	1.232743414
30	1.215646679
31	1.197665714
32	1.1801712
33	1.164737592
34	1.148431958
35	1.132710092
36	1.117807978
37	1.10366483
38	1.089981294
39	1.077051938
40	1.064622749
41	1.052719995
42	1.040667908
43	1.027647741
44	1.016113942
45	1.005534663
46	0.9940379625
47	0.9830275333
48	0.9724355017
49	0.9621821676
50	0.9517917646
51	0.9418890185
52	0.9321060457
53	0.9233691336
54	0.9149788125
55	0.9062995641
56	0.8976765568
57	0.8895659293
58	0.8809740292
59	0.8721846601
60	0.8643272917
61	0.8568452789
62	0.8482139874
63	0.8407577263
64	0.833321076
65	0.8259543969
66	0.8188958774
67	0.8117602555
68	0.8042113253
69	0.7979426643
70	0.7911220936
71	0.784662055
72	0.778153739
73	0.7720085979
74	0.7669838832
75	0.7608174873
76	0.7547221253
77	0.7490020054
78	0.7418061474
79	0.7357662078
80	0.730146058
81	0.7248888474
82	0.7197782303
83	0.7145163703
84	0.7092035052
85	0.704342044
86	0.6990052048
87	0.6946283187
88	0.6902086893
89	0.6857498322
90	0.6813591764
91	0.6776062908
92	0.6734847504
93	0.6688246545
94	0.6650929161
95	0.6608424217
96	0.6573727736
97	0.6535008521
98	0.6491602548
99	0.6452448765
100	0.641635961
101	0.6374456985
102	0.634161282
103	0.6309808452
104	0.627340772
105	0.6241783577
106	0.62177593
107	0.6185336825
108	0.6156981697
109	0.6123852958
110	0.6099265304
111	0.6065382769
112	0.6035597418
113	0.6002665496
114	0.5975371108
115	0.5946630556
116	0.5922746565
117	0.5891524862
118	0.586819117
119	0.5837325697
120	0.5809401066
121	0.5783842943
122	0.576756352
123	0.5750156396
124	0.5723473495
125	0.5694752953
126	0.5674935981
127	0.564852478
128	0.5621555666
129	0.5602750654
130	0.557939028
131	0.555541123
132	0.5537091199
133	0.5510591125
134	0.5490992888
135	0.5461174312
136	0.5446997537
137	0.5430263002
138	0.5407374976
139	0.5384779389
140	0.5372731939
141	0.5352270692
142	0.5330448892
143	0.5304312052
144	0.5289872122
145	0.527213416
146	0.5256131471
147	0.5237776267
148	0.5216484494
149	0.5197369929
150	0.5178743632
151	0.5169614156
152	0.51564898
153	0.5130353197
154	0.5103894773
155	0.5095363058
156	0.5074708211
157	0.5061432102
158	0.504351462
159	0.5035280215
160	0.5008264135
161	0.4991031518
162	0.4982230537
163	0.4972722312
164	0.4955978249
165	0.4936162039
166	0.4916804577
167	0.4905227983
168	0.4898079417
169	0.4881797755
170	0.4867017645
171	0.4849792352
172	0.4840004608
173	0.4820961829
174	0.4810133132
175	0.4796432946
176	0.4774998836
177	0.4756674115
178	0.4747098587
179	0.4733804643
180	0.471687353
181	0.4709673916
182	0.4689516949
183	0.4674857592
184	0.4668057985
185	0.4651684197
186	0.464324637
187	0.4627135165
188	0.4613934548
189	0.4595162924
190	0.4582418251
191	0.4576336776
192	0.4563227001
193	0.4546140052
194	0.4529014875
195	0.4523829676
196	0.4506505122
197	0.4499522951
198	0.4487710662
199	0.4474922421
200	0.446413673
201	0.4446770173
202	0.4440547631
203	0.4435951299
204	0.4428715427
205	0.4417338548
206	0.4406757857
207	0.4392843758
208	0.4388154366
209	0.4377435586
210	0.4363022018
211	0.4350738338
212	0.4337571611
213	0.4333146341
214	0.4326076184
215	0.4319625391
216	0.4308421105
217	0.4295203893
218	0.4281470609
219	0.4270270397
220	0.4257676178
221	0.4245926452
222	0.4232439906
223	0.4217995816
224	0.420606279
225	0.4196199268
226	0.418535852
227	0.4181122603
228	0.416682602
229	0.4154535178
230	0.4147102057
231	0.4139226632
232	0.41334048
233	0.4119697989
234	0.4115999493
235	0.4103458822
236	0.4094420097
237	0.408505018
238	0.4079309215
239	0.4070747319
240	0.4066065988
241	0.4054196523
242	0.4050714956
243	0.4039462406
244	0.403038875
245	0.4022639749
246	0.4011313938
247	0.4001508355
248	0.39978699
249	0.3992725427
250	0.3982873606
251	0.3974851722
252	0.3971049123
253	0.3960979511
254	0.3953627609
255	0.3949462567
256	0.3941768698
257	0.3935467365
258	0.3932356676
259	0.3928548183
260	0.3924183062
261	0.3913583715
262	0.3905279291
263	0.3897702165
264	0.3890448152
265	0.3885828647
266	0.3882001084
267	0.3872054053
268	0.3863782587
269	0.3857469774
270	0.3851768629
271	0.3842826484
272	0.3832168028
273	0.3829480731
274	0.3825419353
275	0.3816803488
276	0.3809449036
277	0.3805639227
278	0.3799711667
279	0.3792450832
280	0.3784127638
281	0.3781018735
282	0.3774419594
283	0.376898313
284	0.375968551
285	0.3750429145
286	0.3742507843
287	0.3739462872
288	0.3732516235
289	0.3727227581
290	0.3725112676
291	0.3717042354
292	0.3713558736
293	0.3707665541
294	0.3704101257
295	0.3696664089
296	0.368880406
297	0.3683164815
298	0.3679707569
299	0.3673255203
300	0.3665441996
301	0.3659963801
302	0.3655226025
303	0.3649799732
304	0.364672231
305	0.3639079655
306	0.3634390293
307	0.36275613
308	0.3625027521
309	0.3618682159
310	0.3615516313
311	0.360896466
312	0.3603094684
313	0.359652568
314	0.359032917
315	0.3588330226
316	0.3585642369
317	0.3579925205
318	0.3573833365
