iter	Passed	Remaining
0	4241	10598658
1	8387	10475880
2	12601	10488784
3	16668	10401367
4	20544	10251644
5	24557	10207529
6	28602	10186462
7	32695	10184618
8	36935	10222854
9	41143	10244777
10	45400	10272924
11	50097	10386947
12	54497	10425706
13	58874	10454340
14	63030	10442086
15	67281	10445521
16	71650	10465202
17	76082	10490999
18	80848	10557063
19	86281	10698956
20	90913	10732178
21	95575	10765309
22	100162	10787022
23	106005	10936208
24	110299	10919664
25	114621	10906659
26	119223	10920008
27	123576	10910013
28	127917	10899472
29	132607	10918024
30	137051	10915528
31	143563	11072305
32	147995	11063799
33	152445	11056773
34	156956	11054209
35	161509	11054462
36	166082	11055704
37	170498	11046537
38	174702	11024175
39	178787	10995414
40	183086	10980716
41	187364	10965293
42	191568	10946144
43	195898	10934676
44	200061	10914471
45	204321	10900127
46	208501	10882009
47	212689	10864865
48	217113	10860107
49	221287	10843103
50	225522	10829487
51	229768	10816796
52	234095	10808127
53	238152	10787437
54	242389	10775299
55	246515	10758656
56	250733	10746357
57	255009	10736775
58	259273	10726904
59	263555	10717913
60	267718	10704339
61	272150	10701654
62	276244	10685826
63	280598	10680284
64	285886	10709741
65	291531	10751320
66	295838	10742904
67	300424	10744576
68	305062	10747937
69	309803	10754618
70	314469	10758411
71	319500	10774270
72	325271	10814164
73	331477	10867095
74	336148	10868788
75	340831	10870724
76	346685	10909341
77	352088	10932791
78	356971	10939585
79	361331	10930285
80	365826	10925104
81	370057	10912169
82	374515	10906057
83	378829	10895864
84	383156	10886155
85	387710	10882946
86	392196	10877811
87	396746	10874464
88	401397	10873804
89	405981	10871278
90	410375	10863663
91	414765	10856044
92	419273	10851528
93	423893	10849862
94	428418	10845757
95	433980	10867593
96	438353	10859411
97	442614	10848564
98	446937	10839368
99	451014	10824350
100	455202	10812179
101	459369	10799685
102	463396	10784085
103	467699	10775087
104	472093	10768227
105	476264	10756379
106	480356	10742922
107	484542	10731711
108	488708	10720203
109	492798	10707160
110	496924	10695065
111	500983	10681681
112	504971	10666957
113	509024	10653785
114	513042	10640061
115	517162	10628571
116	521194	10615438
117	525215	10602237
118	529367	10591797
119	533716	10585367
120	537728	10572355
121	542124	10566985
122	546272	10556830
123	550529	10548860
124	554622	10537831
125	558941	10531174
126	563316	10525594
127	567419	10514996
128	571610	10506116
129	575936	10499772
130	580513	10497989
131	584797	10490917
132	589048	10483288
133	593282	10475416
134	597514	10467572
135	601732	10459525
136	605967	10451832
137	610101	10442464
138	614257	10433534
139	618700	10429528
140	622784	10419499
141	626960	10411076
142	631153	10403001
143	635271	10393746
144	639362	10384132
145	643418	10374016
146	647620	10366328
147	651679	10356414
148	656047	10351464
149	660093	10341467
150	664337	10334628
151	668604	10328178
152	673030	10324199
153	677271	10317395
154	681374	10308543
155	685733	10303578
156	690068	10298285
157	694379	10292630
158	698621	10285993
159	703033	10281862
160	707372	10276671
161	711579	10269580
162	715726	10261675
163	720065	10256541
164	724366	10250876
165	728750	10246414
166	732876	10238323
167	737030	10230683
168	741083	10221686
169	745504	10217794
170	749777	10211885
171	754039	10205842
172	758455	10201879
173	762534	10193424
174	767024	10190473
175	771216	10183566
176	775300	10175274
177	779439	10167743
178	783630	10160927
179	787884	10154954
180	792266	10150634
181	796665	10146538
182	800747	10138423
183	804956	10131950
184	809157	10125402
185	813396	10119349
186	817595	10112823
187	821936	10108074
188	826137	10101603
189	830442	10096433
190	834516	10088475
191	838621	10080930
192	842599	10071901
193	846706	10064460
194	850793	10056811
195	854890	10049320
196	858811	10039809
197	862958	10032979
198	867119	10026341
199	871109	10017755
200	875246	10010907
201	879420	10004494
202	883411	9996035
203	887423	9987864
204	891489	9980333
205	895720	9974675
206	899711	9966370
207	903779	9958952
208	907808	9951144
209	911817	9943150
210	915906	9936070
211	919824	9927166
212	923991	9920984
213	927941	9912498
214	932011	9905332
215	936157	9899000
216	940234	9891958
217	944184	9883614
218	948159	9875583
219	952239	9868661
220	956207	9860617
221	960378	9854696
222	964909	9852456
223	970696	9862967
224	975672	9865130
225	980170	9862419
226	984906	9862081
227	990293	9868185
228	994774	9865210
229	998890	9858616
230	1002989	9851879
231	1007056	9844843
232	1011095	9837570
233	1015098	9829975
234	1019094	9822336
235	1023014	9814005
236	1027008	9806416
237	1031170	9800448
238	1035054	9791877
239	1039064	9784526
240	1043126	9777690
241	1047234	9771307
242	1051181	9763446
243	1055295	9757154
244	1059156	9748566
245	1063339	9742958
246	1067313	9735455
247	1071275	9727871
248	1075241	9720358
249	1079183	9712653
250	1083100	9704751
251	1087102	9697645
252	1091390	9693100
253	1095304	9685254
254	1099179	9677085
255	1103320	9671298
256	1107321	9664284
257	1111515	9658983
258	1115727	9653845
259	1119769	9647243
260	1123759	9640219
261	1127772	9633418
262	1131631	9625320
263	1135704	9619071
264	1139629	9611595
265	1143691	9605288
266	1147566	9597435
267	1151590	9590862
268	1155518	9583502
269	1159652	9577874
270	1163638	9571037
271	1167683	9564700
272	1171678	9557976
273	1175594	9550635
274	1179679	9544680
275	1183841	9539359
276	1187910	9533300
277	1191958	9527093
278	1195936	9520339
279	1199966	9514020
280	1204028	9507972
281	1207987	9501122
282	1212108	9495561
283	1216081	9488859
284	1220095	9482494
285	1224078	9475909
286	1228121	9469800
287	1232039	9462744
288	1236068	9456568
289	1239990	9449582
290	1243961	9442995
291	1247937	9436460
292	1251919	9429991
293	1256023	9424448
294	1260129	9418930
295	1264145	9412758
296	1268261	9407339
297	1272239	9400908
298	1276178	9394208
299	1280106	9387448
300	1284023	9380621
301	1288055	9374652
302	1292053	9368451
303	1296064	9362361
304	1300053	9356125
305	1303976	9349423
306	1307989	9343392
307	1312047	9337687
308	1316035	9331504
309	1320108	9325926
310	1324077	9319628
311	1328102	9313747
312	1332012	9307061
313	1336042	9301241
314	1340054	9295299
315	1344020	9289050
316	1350780	9302061
317	1357791	9316667
318	1361814	9310715
319	1365509	9302532
320	1369165	9294120
321	1372608	9284289
322	1375885	9273383
323	1379628	9265652
324	1383169	9256596
325	1386678	9247359
326	1390080	9237448
327	1393885	9230238
328	1397580	9222334
329	1401139	9213556
330	1404753	9205166
331	1408282	9196254
332	1411865	9187724
333	1415697	9180837
334	1419411	9173213
335	1422801	9163519
336	1425956	9152356
337	1429149	9141481
338	1432216	9129850
339	1435286	9118288
340	1438370	9106868
341	1441522	9095924
342	1444549	9084239
343	1447810	9074066
344	1451161	9064502
345	1454597	9055498
346	1458014	9046409
347	1461414	9037250
348	1464798	9028029
349	1468221	9019076
350	1471648	9010180
351	1475098	9001451
352	1478621	8993201
353	1482208	8985365
354	1485540	8976014
355	1489089	8967998
356	1492465	8958971
357	1495929	8950504
358	1499290	8941449
359	1502727	8932880
360	1506142	8924209
361	1509604	8915842
362	1513041	8907352
363	1516534	8899226
364	1519934	8890575
365	1523332	8881943
366	1526738	8873385
367	1530240	8865414
368	1533602	8856656
369	1536934	8847759
370	1540410	8839715
371	1543856	8831520
372	1547253	8823077
373	1550642	8814615
374	1554087	8806494
375	1557506	8798253
376	1560914	8789979
377	1564315	8781683
378	1567776	8773758
379	1571155	8765395
380	1574541	8757094
381	1577880	8748562
382	1581224	8740081
383	1584614	8731887
384	1588032	8723868
385	1591429	8715753
386	1594941	8708295
387	1598312	8700093
388	1602125	8694310
389	1606495	8691551
390	1610747	8688150
391	1614616	8682683
392	1618512	8677366
393	1622586	8673012
394	1627439	8672813
395	1632014	8671108
396	1635696	8664658
397	1639201	8657291
398	1642738	8650108
399	1646267	8642906
400	1649820	8635842
401	1653380	8628836
402	1656971	8622010
403	1660377	8614236
404	1663946	8607328
405	1667441	8600056
406	1671072	8593500
407	1674624	8586552
408	1678212	8579812
409	1681659	8572361
410	1685097	8564889
411	1688706	8558298
412	1692182	8551054
413	1695726	8544168
414	1699100	8536445
415	1702504	8528891
416	1705926	8521451
417	1709346	8514017
418	1712759	8506569
419	1716236	8499457
420	1719712	8492357
421	1723237	8485517
422	1726857	8479157
423	1730743	8474110
424	1734332	8467622
425	1738061	8461827
426	1741750	8455852
427	1745155	8448511
428	1748525	8441019
429	1752000	8434046
430	1755394	8426708
431	1758836	8419613
432	1762242	8412367
433	1765579	8404807
434	1768998	8397661
435	1772411	8390500
436	1775897	8383698
437	1779341	8376716
438	1782777	8369713
439	1786198	8362657
440	1789774	8356341
441	1793185	8349268
442	1796619	8342314
443	1799958	8334944
444	1803280	8327507
445	1806662	8320371
446	1810222	8314063
447	1813853	8308096
448	1817167	8300690
449	1820528	8293519
450	1823946	8286622
451	1827341	8279635
452	1830727	8272626
453	1834278	8266375
454	1837693	8259523
455	1841030	8252336
456	1844642	8246398
457	1848067	8239634
458	1851421	8232571
459	1854818	8225716
460	1858232	8218951
461	1861710	8212480
462	1865141	8205816
463	1868664	8199570
464	1871992	8192482
465	1875415	8185828
466	1878779	8178926
467	1882109	8171893
468	1885453	8164939
469	1888918	8158519
470	1892382	8152112
471	1895734	8145230
472	1899156	8138667
473	1902673	8132523
474	1906071	8125882
475	1909411	8119008
476	1912901	8112785
477	1916396	8106598
478	1919733	8099752
479	1923103	8093059
480	1926571	8086792
481	1930067	8080658
482	1933479	8074178
483	1936936	8067900
484	1940332	8061381
485	1943795	8055151
486	1947199	8048689
487	1950532	8041950
488	1954010	8035819
489	1957348	8029122
490	1960769	8022783
491	1964302	8016908
492	1967719	8010575
493	1971101	8004108
494	1974498	7997715
495	1977930	7991478
496	1981282	7984925
497	1984772	7978946
498	1988264	7972981
499	1991649	7966596
500	1995056	7960316
501	1998424	7953890
502	2001755	7947326
503	2005123	7940927
504	2008514	7934625
505	2011922	7928407
506	2015354	7922291
507	2018752	7916051
508	2022205	7910040
509	2025716	7904266
510	2029114	7898058
511	2032448	7891617
512	2035926	7885742
513	2039264	7879338
514	2042766	7873574
515	2046123	7867265
516	2049555	7861255
517	2054272	7860169
518	2058707	7857995
519	2062715	7854184
520	2066548	7849710
521	2070043	7843959
522	2073477	7837984
523	2076854	7831802
524	2080348	7826073
525	2083746	7819990
526	2087136	7813890
527	2090634	7808202
528	2094095	7802384
529	2097403	7796011
530	2100936	7790479
531	2104296	7784315
532	2107757	7778536
533	2111207	7772722
534	2114688	7767035
535	2118151	7761284
536	2121667	7755740
537	2125133	7750020
538	2128497	7743939
539	2132060	7738589
540	2135471	7732697
541	2139035	7727365
542	2142520	7721755
543	2146041	7716282
544	2149460	7710451
545	2153016	7705116
546	2156462	7699400
547	2159913	7693705
548	2163414	7688200
549	2166872	7682547
550	2170341	7676941
551	2173985	7671961
552	2177675	7667150
553	2181262	7661980
554	2184704	7656306
555	2188290	7651145
556	2191886	7646023
557	2195254	7640113
558	2198695	7634470
559	2202202	7629060
560	2205676	7623542
561	2209103	7617868
562	2212535	7612222
563	2215929	7606452
564	2219585	7601588
